data_frac,trial_i,performance,passed_safety,failed
0.001,0,,False,False
0.001,1,,False,False
0.001,2,,False,False
0.001,3,,False,False
0.001,4,,False,False
0.001,5,,False,False
0.001,6,,False,False
0.001,7,,False,False
0.001,8,,False,False
0.001,9,,False,False
0.001,10,,False,False
0.001,11,,False,False
0.001,12,,False,False
0.001,13,,False,False
0.001,14,,False,False
0.001,15,,False,False
0.001,16,,False,False
0.001,17,,False,False
0.001,18,,False,False
0.001,19,,False,False
0.001637893706954,0,,False,False
0.001637893706954,1,,False,False
0.001637893706954,2,,False,False
0.001637893706954,3,,False,False
0.001637893706954,4,,False,False
0.001637893706954,5,,False,False
0.001637893706954,6,,False,False
0.001637893706954,7,,False,False
0.001637893706954,8,0.9900535701799902,True,False
0.001637893706954,9,,False,False
0.001637893706954,10,,False,False
0.001637893706954,11,,False,False
0.001637893706954,12,,False,False
0.001637893706954,13,,False,False
0.001637893706954,14,,False,False
0.001637893706954,15,,False,False
0.001637893706954,16,,False,False
0.001637893706954,17,,False,False
0.001637893706954,18,,False,False
0.001637893706954,19,,False,False
0.0026826957952797,0,,False,False
0.0026826957952797,1,,False,False
0.0026826957952797,2,,False,False
0.0026826957952797,3,,False,False
0.0026826957952797,4,,False,False
0.0026826957952797,5,,False,False
0.0026826957952797,6,,False,False
0.0026826957952797,7,,False,False
0.0026826957952797,8,,False,False
0.0026826957952797,9,,False,False
0.0026826957952797,10,,False,False
0.0026826957952797,11,,False,False
0.0026826957952797,12,,False,False
0.0026826957952797,13,,False,False
0.0026826957952797,14,,False,False
0.0026826957952797,15,,False,False
0.0026826957952797,16,,False,False
0.0026826957952797,17,,False,False
0.0026826957952797,18,,False,False
0.0026826957952797,19,,False,False
0.0043939705607607,0,,False,False
0.0043939705607607,1,0.7048938356773102,True,False
0.0043939705607607,2,,False,False
0.0043939705607607,3,,False,False
0.0043939705607607,4,,False,False
0.0043939705607607,5,,False,False
0.0043939705607607,6,,False,False
0.0043939705607607,7,,False,False
0.0043939705607607,8,,False,False
0.0043939705607607,9,,False,False
0.0043939705607607,10,,False,False
0.0043939705607607,11,,False,False
0.0043939705607607,12,,False,False
0.0043939705607607,13,,False,False
0.0043939705607607,14,0.7092552057644771,True,False
0.0043939705607607,15,,False,False
0.0043939705607607,16,,False,False
0.0043939705607607,17,,False,False
0.0043939705607607,18,,False,False
0.0043939705607607,19,,False,False
0.0071968567300115,0,0.6946769189187303,True,False
0.0071968567300115,1,0.7045511821042906,True,False
0.0071968567300115,2,0.769094666499364,True,False
0.0071968567300115,3,0.7132676131188935,True,False
0.0071968567300115,4,,False,False
0.0071968567300115,5,,False,False
0.0071968567300115,6,0.7034144063789285,True,False
0.0071968567300115,7,0.7246237486185659,True,False
0.0071968567300115,8,,False,False
0.0071968567300115,9,,False,False
0.0071968567300115,10,,False,False
0.0071968567300115,11,0.6997627770258964,True,False
0.0071968567300115,12,,False,False
0.0071968567300115,13,,False,False
0.0071968567300115,14,0.7128476496517574,True,False
0.0071968567300115,15,0.7067349180528975,True,False
0.0071968567300115,16,0.7120149466176843,True,False
0.0071968567300115,17,0.6899155207107075,True,False
0.0071968567300115,18,,False,False
0.0071968567300115,19,,False,False
0.0117876863479358,0,0.6783344155762407,True,False
0.0117876863479358,1,0.6814380453383487,True,False
0.0117876863479358,2,0.6894243474654557,True,False
0.0117876863479358,3,0.6990172078355494,True,False
0.0117876863479358,4,,False,False
0.0117876863479358,5,,False,False
0.0117876863479358,6,0.682466194504666,True,False
0.0117876863479358,7,0.688323302862503,True,False
0.0117876863479358,8,,False,False
0.0117876863479358,9,0.6958293350389442,True,False
0.0117876863479358,10,0.6815652443837904,True,False
0.0117876863479358,11,0.7077301495387458,True,False
0.0117876863479358,12,0.7076163270108092,True,False
0.0117876863479358,13,0.6807345684058707,True,False
0.0117876863479358,14,0.6970567092693053,True,False
0.0117876863479358,15,0.7102217741105523,True,False
0.0117876863479358,16,,False,False
0.0117876863479358,17,0.6813077916492036,True,False
0.0117876863479358,18,0.6788301782271199,True,False
0.0117876863479358,19,0.6874768253837755,True,False
0.0193069772888324,0,0.6739041709256727,True,False
0.0193069772888324,1,0.6711643366413501,True,False
0.0193069772888324,2,0.7002149710693186,True,False
0.0193069772888324,3,0.6845002532518337,True,False
0.0193069772888324,4,0.6706824378053972,True,False
0.0193069772888324,5,0.6752725650213355,True,False
0.0193069772888324,6,0.683303310827987,True,False
0.0193069772888324,7,0.6812828015830142,True,False
0.0193069772888324,8,0.6805239417485435,True,False
0.0193069772888324,9,0.6694120167221647,True,False
0.0193069772888324,10,0.685866984355992,True,False
0.0193069772888324,11,0.6784402657653582,True,False
0.0193069772888324,12,0.6801959992677488,True,False
0.0193069772888324,13,0.6780877112156757,True,False
0.0193069772888324,14,0.683021945262516,True,False
0.0193069772888324,15,0.6788442543666264,True,False
0.0193069772888324,16,0.6849726523855366,True,False
0.0193069772888324,17,0.6818558150782413,True,False
0.0193069772888324,18,0.6745406864249708,True,False
0.0193069772888324,19,0.678144240270369,True,False
0.0316227766016837,0,0.6722603647416899,True,False
0.0316227766016837,1,0.6618458416585439,True,False
0.0316227766016837,2,0.6803443238455211,True,False
0.0316227766016837,3,0.6798663563550837,True,False
0.0316227766016837,4,0.6684362878620678,True,False
0.0316227766016837,5,0.6808582035016532,True,False
0.0316227766016837,6,0.6731532188583613,True,False
0.0316227766016837,7,0.6817056353276809,True,False
0.0316227766016837,8,0.6742788976904864,True,False
0.0316227766016837,9,0.6664416684900989,True,False
0.0316227766016837,10,0.6801387432604455,True,False
0.0316227766016837,11,0.6752711282870183,True,False
0.0316227766016837,12,0.6781477815767287,True,False
0.0316227766016837,13,0.6759099025820813,True,False
0.0316227766016837,14,0.6775467539537713,True,False
0.0316227766016837,15,0.6766414167380769,True,False
0.0316227766016837,16,0.6707936519781635,True,False
0.0316227766016837,17,0.6713672613856873,True,False
0.0316227766016837,18,0.6744775199039259,True,False
0.0316227766016837,19,0.6692630688274671,True,False
0.0517947467923121,0,0.6682641868541778,True,False
0.0517947467923121,1,0.660430491753262,True,False
0.0517947467923121,2,0.6777773465155614,True,False
0.0517947467923121,3,0.6833344627766225,True,False
0.0517947467923121,4,0.6693948751497362,True,False
0.0517947467923121,5,0.6704900191312309,True,False
0.0517947467923121,6,0.6621783722151683,True,False
0.0517947467923121,7,0.6705201699835872,True,False
0.0517947467923121,8,0.6611127282282204,True,False
0.0517947467923121,9,0.6716653249511197,True,False
0.0517947467923121,10,0.6773928970150633,True,False
0.0517947467923121,11,0.6788393032591763,True,False
0.0517947467923121,12,0.6708858850108034,True,False
0.0517947467923121,13,0.6598148917123899,True,False
0.0517947467923121,14,0.6770024184601896,True,False
0.0517947467923121,15,0.6648653513394589,True,False
0.0517947467923121,16,0.6640917623251863,True,False
0.0517947467923121,17,0.6715772450515292,True,False
0.0517947467923121,18,0.6682609433753791,True,False
0.0517947467923121,19,0.6663396673775953,True,False
0.0848342898244071,0,0.6637893813613481,True,False
0.0848342898244071,1,0.655738193643817,True,False
0.0848342898244071,2,0.6641819758746419,True,False
0.0848342898244071,3,0.6713078960147475,True,False
0.0848342898244071,4,0.6557914190284857,True,False
0.0848342898244071,5,0.6536782373997961,True,False
0.0848342898244071,6,0.654691422633469,True,False
0.0848342898244071,7,0.6625209747091768,True,False
0.0848342898244071,8,0.6541943626689793,True,False
0.0848342898244071,9,0.6633651225761671,True,False
0.0848342898244071,10,0.6667946238067998,True,False
0.0848342898244071,11,0.6671505988639251,True,False
0.0848342898244071,12,0.6705766485987866,True,False
0.0848342898244071,13,0.660831117556805,True,False
0.0848342898244071,14,0.6716589704017265,True,False
0.0848342898244071,15,0.6586556014285091,True,False
0.0848342898244071,16,0.658563400029308,True,False
0.0848342898244071,17,0.658482121035643,True,False
0.0848342898244071,18,0.6640361907889492,True,False
0.0848342898244071,19,0.6699126967359782,True,False
0.1389495494373137,0,0.6520920342036208,True,False
0.1389495494373137,1,0.6526566119316153,True,False
0.1389495494373137,2,0.6616829016653148,True,False
0.1389495494373137,3,0.6609444038452655,True,False
0.1389495494373137,4,0.6525009262447901,True,False
0.1389495494373137,5,0.6527194336769775,True,False
0.1389495494373137,6,0.6525073348382073,True,False
0.1389495494373137,7,0.6537012611047633,True,False
0.1389495494373137,8,0.6528824689264292,True,False
0.1389495494373137,9,0.6562099404849843,True,False
0.1389495494373137,10,0.6592332192470292,True,False
0.1389495494373137,11,0.6507165202599764,True,False
0.1389495494373137,12,0.6596466836904987,True,False
0.1389495494373137,13,0.6556111469549092,True,False
0.1389495494373137,14,0.6554025255129619,True,False
0.1389495494373137,15,0.6533539518554011,True,False
0.1389495494373137,16,0.6558832285936955,True,False
0.1389495494373137,17,0.6544576407747299,True,False
0.1389495494373137,18,0.6530699886236369,True,False
0.1389495494373137,19,0.6572787319988366,True,False
0.2275845926074788,0,0.648511782845597,True,False
0.2275845926074788,1,0.6503475330837559,True,False
0.2275845926074788,2,0.654239086130777,True,False
0.2275845926074788,3,0.6511276574391022,True,False
0.2275845926074788,4,0.6519568033443017,True,False
0.2275845926074788,5,0.6491935199477769,True,False
0.2275845926074788,6,0.6510908923880012,True,False
0.2275845926074788,7,0.6509335018499133,True,False
0.2275845926074788,8,0.6518722296403068,True,False
0.2275845926074788,9,0.6527067574877691,True,False
0.2275845926074788,10,0.6550010849736095,True,False
0.2275845926074788,11,0.6492163755059727,True,False
0.2275845926074788,12,0.6527850197156413,True,False
0.2275845926074788,13,0.649791202150181,True,False
0.2275845926074788,14,0.6527163387080265,True,False
0.2275845926074788,15,0.6523909276590849,True,False
0.2275845926074788,16,0.6519460955141061,True,False
0.2275845926074788,17,0.6521172138840713,True,False
0.2275845926074788,18,0.6496102670573213,True,False
0.2275845926074788,19,0.65296118173026,True,False
0.3727593720314938,0,0.6475202225936433,True,False
0.3727593720314938,1,0.6490224002777358,True,False
0.3727593720314938,2,0.6522938224040523,True,False
0.3727593720314938,3,0.6491397908062345,True,False
0.3727593720314938,4,0.649003453060551,True,False
0.3727593720314938,5,0.6482965518259942,True,False
0.3727593720314938,6,0.648373171295429,True,False
0.3727593720314938,7,0.6499642977671818,True,False
0.3727593720314938,8,0.6489329760098208,True,False
0.3727593720314938,9,0.6498660009070482,True,False
0.3727593720314938,10,0.6513565939722743,True,False
0.3727593720314938,11,0.6485513190144032,True,False
0.3727593720314938,12,0.6487913222871764,True,False
0.3727593720314938,13,0.6490950798110225,True,False
0.3727593720314938,14,0.6489349164997814,True,False
0.3727593720314938,15,0.6483150423202184,True,False
0.3727593720314938,16,0.6489641550738261,True,False
0.3727593720314938,17,0.6492160597955242,True,False
0.3727593720314938,18,0.6489236453666534,True,False
0.3727593720314938,19,0.6491012862927501,True,False
0.6105402296585326,0,0.6470912954459739,True,False
0.6105402296585326,1,0.6474120495418785,True,False
0.6105402296585326,2,0.6484821994714772,True,False
0.6105402296585326,3,0.6481035842129133,True,False
0.6105402296585326,4,0.6481092761434668,True,False
0.6105402296585326,5,0.6472632925798328,True,False
0.6105402296585326,6,0.6472862990532299,True,False
0.6105402296585326,7,0.6488473016132554,True,False
0.6105402296585326,8,0.6471548148076375,True,False
0.6105402296585326,9,0.6470317947840102,True,False
0.6105402296585326,10,0.6483240767015028,True,False
0.6105402296585326,11,0.6472915086991908,True,False
0.6105402296585326,12,0.6479143433968527,True,False
0.6105402296585326,13,0.6472455388060909,True,False
0.6105402296585326,14,0.6483587181210336,True,False
0.6105402296585326,15,0.6475380002250404,True,False
0.6105402296585326,16,0.6480972088398814,True,False
0.6105402296585326,17,0.6475577796840501,True,False
0.6105402296585326,18,0.6478385725073649,True,False
0.6105402296585326,19,0.6467690039235398,True,False
1.0,0,0.6469571927543234,True,False
1.0,1,0.6465592946872672,True,False
1.0,2,0.646716560433523,True,False
1.0,3,0.6474079613161122,True,False
1.0,4,0.6465845878545601,True,False
1.0,5,0.6465592807626943,True,False
1.0,6,0.6463017454971377,True,False
1.0,7,0.6469123643794211,True,False
1.0,8,0.6466039970722466,True,False
1.0,9,0.6462653966427734,True,False
1.0,10,0.6472171454226238,True,False
1.0,11,0.6464132733711411,True,False
1.0,12,0.646637294678168,True,False
1.0,13,0.6461032573224982,True,False
1.0,14,0.6471531049822845,True,False
1.0,15,0.6462632021401951,True,False
1.0,16,0.6467789219379607,True,False
1.0,17,0.6467621918407825,True,False
1.0,18,0.6464394165841346,True,False
1.0,19,0.6461021947337724,True,False
